"Mon: Jan 22","Moody Mondays","various","The Ruby Room (Oakland)","9pm","","21+","","https://www.facebook.com/events/2020506788233328/","","43122.875"
"Mon: Jan 22","Runthelengthofyourwildness w/ Memeshift and Denim Decades","house, techno, leftfield","Underground (San Francisco)","9pm-2am","Free","21+","Run The Length Of Your Wildness","https://www.facebook.com/events/158027711587497/","","43122.875"
"Mon: Jan 22","Monday Night Edutainment Feat. DJ Beset","dancehall, hip-hop, trap, reggae","Hopmonk Tavern - Sebastopol","10pm","$10","21+","The WBLK Dancehall Massive","http://ticketf.ly/2B8NVEl","https://www.facebook.com/events/244392246096928/","43122.9166666667"
"Tue: Jan 23","Taco Tuesday: Ms.Manya, JJ Shay, Michelle Sanz,  Brian Cabalic","house, disco","Monarch (San Francisco)","5:30pm-8:30pm","Free","21+","Dizkoalition","https://www.facebook.com/events/1985706691679381/","","43123.7291666667"
"Tue: Jan 23","Sequential w/ Samazul","house","Wish Bar and Lounge (San Francisco)","8pm","Free","21+","Samazul","https://www.facebook.com/events/726021960920531/","","43123.8333333333"
"Tue: Jan 23","Conjure","various","F8 1192 Folsom (San Francisco)","8pm-10pm","$5","21+","Underground Nomads","https://www.facebook.com/events/195719800986364/","","43123.8333333333"
"Tue: Jan 23","Anomalie","live electronic","The Catalyst Club Atrium (Santa Cruz)","8:30pm-12am","$10-12","16+","The Catalyst Club","https://www.catalystclub.com/event/1633668-anomalie-santa-cruz/","https://www.facebook.com/events/1413240975472428/","43123.8541666667"
"Tue: Jan 23","Rhythm Ritual w/ Eli Sosa","house","The Continental Bar Lounge & Patio (San Jose)","9pm-1:30am","Free","21+","Rhythm Ritual","https://www.facebook.com/events/668105903540928/","","43123.875"
"Tue: Jan 23","Good4u Polar Jungle Takeover","house, techno, disco","Madrone Art Bar (San Francisco)","9pm-2am","Free","21+","Brouhaha","http://www.residentadvisor.net/events/1060083","https://www.facebook.com/events/151980738916337/","43123.875"
"Tue: Jan 23","DJ Assault, Wolfbaby, Mork","ghettotech, bass music, trap, hip-hop, dubstep, club music","Monarch (San Francisco)","10pm-2am","$10-13","21+","Soundpieces","http://www.ticketfly.com/event/1624606","https://www.facebook.com/events/146685122661219/","43123.9166666667"
